X	e1g_0	e2g_0	e3g_0	p1g_1	p2g_1	p3g_1
A1BG	0	0	0	0	0	0
A1CF	0	0	0	0	0	0
A2M	0	0	0	0	0	0
A3GALT2	1	0	0	0	2	3
A4GALT	0	0	0	0	0	0
A4GNT	0	0	0	0	0	0
AAAS	127	33	73	115	116	94
AACS	217	44	110	172	135	131
AADAC	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0
AADAT	0	0	0	0	0	0
AAED1	56	5	14	63	27	21
AAGAB	67	14	24	133	115	83
AAK1	135	13	26	267	153	115
AAMDC	8	0	0	15	4	11
AAMP	511	162	241	881	681	530
AANAT	0	0	0	0	0	0
AAR2	64	9	12	92	73	55
AARD	0	0	0	0	0	0
AARS	543	124	155	762	993	830
AARS2	37	6	6	70	49	25
AARSD1	128	26	34	146	139	102
AASDH	23	1	7	29	21	25
AASDHPPT	52	2	11	92	92	61
AASS	3	2	1	0	0	1
AATF	83	23	13	151	160	114
AATK	195	16	28	344	147	118
ABAT	1	0	0	0	2	1
ABCA1	77	78	180	190	236	232
ABCA12	1	0	0	0	0	0
ABCA13	0	0	0	0	0	0
ABCA2	313	65	87	572	344	204
ABCA3	185	23	56	383	229	164
ABCA4	31	3	29	1	0	1
ABCA5	0	0	0	0	0	0
ABCA6	0	0	0	1	0	0
ABCA7	115	18	35	190	128	83
ABCA9	0	1	0	1	0	3
ABCB10	42	4	5	64	51	26
ABCB11	0	0	1	0	0	0
ABCB4	19	9	18	3	7	8
ABCB5	0	0	0	0	0	0
ABCB6	47	7	9	100	58	53
ABCB7	41	8	31	55	60	31
ABCB8	101	5	20	92	58	43
ABCB9	2	0	0	4	3	2
ABCC1	481	89	170	632	454	351
ABCC10	42	6	12	69	32	39
ABCC12	0	0	0	0	0	0
ABCC2	0	0	0	0	1	0
ABCC3	102	12	18	429	93	65
ABCC4	48	9	10	55	67	78
ABCC5	66	10	23	118	81	63
ABCC6	3	3	10	0	0	0
ABCC8	0	0	0	0	0	0
ABCC9	0	0	0	0	0	0
ABCD1	45	9	29	71	30	26
ABCD2	0	0	0	0	0	0
ABCD3	80	16	30	153	101	90
ABCD4	263	35	65	182	122	77
ABCE1	357	48	101	598	584	476
ABCF1	431	73	116	564	445	362
ABCF2	149	71	104	364	357	333
ABCF3	111	27	41	253	133	128
ABCG1	4	2	1	9	10	9
ABCG2	9	1	1	2	2	6
ABCG4	6	8	7	4	12	10
ABCG5	0	0	0	0	0	0
ABCG8	0	0	0	0	0	0
ABHD10	16	0	1	24	26	14
ABHD11	45	7	4	93	99	64
ABHD12	68	10	22	144	118	89
ABHD12B	0	0	0	0	0	0
ABHD13	59	5	14	123	98	58
ABHD14A	32	5	3	37	34	20
ABHD14B	26	11	4	72	35	43
ABHD15	1	0	0	0	0	0
ABHD16A	88	24	41	187	111	94
ABHD16B	1	0	0	0	0	0
ABHD17A	173	64	95	190	123	103
ABHD17B	60	8	12	75	56	57
ABHD17C	89	16	24	109	103	73
ABHD18	12	4	17	11	11	14
ABHD2	820	172	533	1809	725	566
ABHD3	3	2	0	8	2	2
ABHD4	114	16	35	302	160	101
ABHD5	68	13	26	255	81	66
ABHD6	35	0	9	56	45	43
ABHD8	123	23	44	192	107	81
ABI1	239	33	76	367	279	224
ABI2	70	15	23	98	97	76
ABI3	2	0	0	3	1	0
ABI3BP	1	0	0	0	3	1
ABL1	492	53	102	720	470	375
ABL2	264	29	69	429	368	313
ABLIM1	37	3	3	61	17	10
ABLIM2	0	1	0	1	0	0
ABLIM3	0	0	0	0	0	0
ABO	0	0	0	0	0	0
ABR	337	58	200	505	319	308
ABRA	0	0	0	0	0	0
ABRACL	83	11	11	113	78	78
ABT1	41	2	7	56	47	44
ABTB1	34	5	20	83	46	46
ABTB2	32	3	13	68	39	37
ACAA2	86	13	32	143	53	50
ACACA	393	42	64	272	253	214
ACACB	55	6	9	53	27	28
ACAD10	19	6	8	42	29	11
ACAD11	23	7	17	67	35	22
ACAD8	48	5	10	43	43	32
ACAD9	96	6	21	97	82	60
ACADL	294	39	82	454	250	157
ACADM	78	11	13	182	113	78
ACADS	133	13	20	215	132	91
ACADSB	36	4	3	176	74	48
ACADVL	240	26	33	387	209	150
ACAN	2	7	72	0	1	1
ACAP1	113	22	45	32	19	9
ACAP2	154	16	41	306	227	177
ACAP3	76	38	57	208	132	107
ACAT1	310	20	29	191	135	97
ACAT2	358	39	95	107	90	102
ACBD3	151	12	36	232	175	133
ACBD4	94	9	13	173	110	72
ACBD5	61	4	22	121	82	62
ACBD6	173	17	20	230	212	171
ACBD7	0	0	0	0	0	0
ACCS	20	0	2	26	13	18
ACCSL	0	0	0	0	0	0
ACD	72	10	20	141	100	79
ACE	79	55	27	293	122	119
ACE2	0	0	0	0	0	0
