X	mb231e210g_0	mb231e264g_0	mb231e279g_0	mb231p2207g_1	mb231p2237Ag_1
A1BG	0	0	0	0	0
A1CF	0	0	0	0	0
A2M	0	0	0	0	0
A3GALT2	0	0	0	0	0
A4GALT	0	0	0	0	0
A4GNT	0	0	0	0	0
AAAS	2	0	1	0	0
AACS	0	0	0	0	0
AADAC	0	0	0	0	0
AADACL2	0	0	0	0	0
AADACL3	0	0	0	0	0
AADAT	0	0	0	0	0
AAED1	0	1	1	0	1
AAGAB	1	1	3	1	1
AAK1	3	7	9	2	15
AAMDC	1	0	0	2	4
AAMP	24	23	30	19	45
AANAT	0	0	0	0	0
AAR2	0	0	0	0	0
AARD	0	0	0	0	0
AARS	8	11	31	15	46
AARS2	0	0	0	0	0
AARSD1	1	0	3	2	3
AASDH	0	0	0	0	0
AASDHPPT	1	1	3	2	3
AASS	0	0	0	0	0
AATF	0	1	0	1	2
AATK	0	0	0	0	0
ABAT	0	0	0	0	0
ABCA1	2	0	2	1	7
ABCA12	0	0	0	0	0
ABCA13	0	0	0	0	0
ABCA2	14	9	9	15	30
ABCA3	0	0	0	0	0
ABCA4	0	0	0	0	0
ABCA5	3	3	2	0	3
ABCA6	0	0	0	0	0
ABCA7	0	0	0	0	0
ABCA9	0	0	0	0	0
ABCB10	0	0	0	0	0
ABCB11	0	0	0	0	0
ABCB4	0	0	0	0	1
ABCB5	0	0	0	0	0
ABCB6	1	1	4	1	4
ABCB7	5	5	12	3	14
ABCB8	0	0	0	0	0
ABCB9	0	0	0	0	0
ABCC1	3	1	5	1	8
ABCC10	1	1	0	0	1
ABCC12	0	0	0	0	0
ABCC2	0	0	0	0	0
ABCC3	0	0	0	0	0
ABCC4	0	0	0	0	0
ABCC5	8	6	7	5	18
ABCC6	0	0	0	0	0
ABCC8	0	0	0	0	0
ABCC9	0	0	0	0	0
ABCD1	1	0	0	0	2
ABCD2	1	0	0	0	0
ABCD3	7	2	6	4	10
ABCD4	8	5	1	8	18
ABCE1	10	21	25	21	56
ABCF1	0	0	0	0	0
ABCF2	22	14	34	16	49
ABCF3	4	2	1	5	2
ABCG1	1	1	0	1	3
ABCG2	0	0	0	0	0
ABCG4	0	0	0	0	0
ABCG5	0	0	0	0	0
ABCG8	0	0	0	0	0
ABHD10	0	0	0	0	0
ABHD11	0	0	1	0	0
ABHD12	6	4	3	2	2
ABHD12B	0	0	0	0	0
ABHD13	0	0	0	0	0
ABHD14A	0	0	0	0	0
ABHD14B	1	1	0	0	0
ABHD15	0	0	0	0	0
ABHD16A	12	15	9	3	18
ABHD16B	0	0	0	0	0
ABHD17A	0	0	0	0	0
ABHD17B	9	2	12	3	20
ABHD17C	12	11	14	7	24
ABHD18	0	0	0	0	0
ABHD2	11	8	16	3	22
ABHD3	0	0	0	0	0
ABHD4	7	6	3	2	15
ABHD5	0	1	0	0	6
ABHD6	0	0	0	0	0
ABHD8	0	0	0	0	0
ABI1	46	43	48	27	88
ABI2	7	4	8	7	16
ABI3	0	0	0	0	0
ABI3BP	0	0	0	0	0
ABL1	14	12	13	6	27
ABL2	2	17	28	15	51
ABLIM1	2	2	0	0	1
ABLIM2	0	0	0	0	0
ABLIM3	0	0	0	0	0
ABO	0	0	0	0	0
ABR	6	17	16	8	19
ABRA	0	0	0	0	0
ABRACL	0	0	0	0	0
ABT1	0	0	0	0	0
ABTB1	0	0	0	0	1
ABTB2	0	3	2	1	7
ACAA2	0	0	0	0	0
ACACA	9	16	43	18	46
ACACB	1	0	0	0	0
ACAD10	0	0	0	0	0
ACAD11	0	2	0	0	0
ACAD8	3	6	10	3	8
ACAD9	0	0	0	0	0
ACADL	0	0	0	0	0
ACADM	0	0	0	0	0
ACADS	0	0	0	0	0
ACADSB	0	0	0	0	0
ACADVL	0	0	0	0	0
ACAN	0	0	0	0	0
ACAP1	0	0	0	1	2
ACAP2	3	4	5	2	6
ACAP3	0	0	0	0	0
ACAT1	22	16	16	19	53
ACAT2	0	0	0	0	0
ACBD3	0	0	1	1	5
ACBD4	2	4	2	6	5
ACBD5	2	2	7	0	5
ACBD6	1	3	4	2	3
ACBD7	0	0	0	0	0
ACCS	2	0	1	0	3
ACCSL	0	0	0	0	0
ACD	0	0	0	0	0
ACE	5	0	3	3	3
ACE2	0	0	0	0	0
ACER1	0	0	0	0	0
ACER2	0	0	0	0	0
ACER3	1	3	3	1	7
ACHE	0	0	0	0	1
ACIN1	44	59	60	45	117
ACKR1	0	0	0	0	0
ACKR2	0	0	0	0	0
ACKR3	2	5	4	0	3
ACKR4	0	0	0	0	0
ACLY	36	58	73	39	116
ACMSD	0	0	0	0	0
ACO1	3	2	1	1	3
ACO2	55	33	46	34	116
ACOD1	0	0	0	0	0
ACOT1	0	0	0	0	0
ACOT11	1	0	0	0	0
ACOT12	0	0	0	0	0
ACOT13	0	0	0	0	0
ACOT2	0	0	0	0	0
ACOT4	0	0	0	0	0
ACOT6	0	0	0	0	0
ACOT7	0	0	0	0	0
ACOT8	0	0	0	1	0
ACOT9	0	0	0	0	0
ACOX1	0	0	1	0	0
ACOX2	0	0	0	0	0
ACOX3	0	0	0	0	0
ACOXL	0	0	0	0	0
ACP1	0	0	0	0	1
ACP2	0	0	0	0	0
ACP5	0	0	1	0	0
ACP6	0	0	0	0	0
ACP7	0	0	0	0	0
ACPP	0	0	0	0	0
ACPT	0	0	0	0	0
ACR	0	0	0	0	0
ACRBP	0	0	0	0	0
ACRV1	0	0	0	0	0
ACSBG1	0	0	0	0	0
ACSBG2	0	0	0	0	0
ACSF2	0	0	0	0	0
ACSF3	0	0	0	0	0
ACSL1	1	0	1	0	2
ACSL3	4	1	7	4	5
ACSL4	13	20	25	11	51
ACSL5	0	0	0	0	0
ACSL6	0	0	2	1	0
ACSM1	0	0	0	0	0
ACSM3	0	0	0	0	0
ACSM4	0	0	0	0	0
ACSM5	0	0	0	0	0
ACSS1	0	0	0	0	0
ACSS2	20	12	10	13	37
ACSS3	0	0	0	0	0
